Date,Product_ID,Product_Category,City,Store_Type,Price,Discount_Percentage,Marketing_Spend,Holiday_Flag,Previous_Month_Demand,Season,Next_Month_Demand
2025-05-01,FASH104,Fashion,Chennai,Mall,2869.75,0,4568.26,No,476,Summer,447
2024-10-01,CARE102,Personal Care,Kolkata,Neighbourhood,552.65,25,29789.71,Yes,549,Festival,1219
2025-01-01,ELEC103,Electronics,Mumbai,Supermarket,7501.15,0,12891.77,Yes,296,Winter,395
2023-03-01,CARE103,Personal Care,Pune,Mall,153.72,10,28439.45,No,732,Summer,710
2023-09-01,GROC101,Groceries,Bengaluru,Neighbourhood,126.6,5,19469.91,No,965,Festival,1283
2023-04-01,GROC102,Groceries,Hyderabad,High Street,226.36,10,29178.78,No,1128,Summer,1114
2025-10-01,GROC102,Groceries,Delhi,High Street,236.99,15,18401.99,Yes,1372,Festival,2113
2024-12-01,GROC101,Groceries,Delhi,Neighbourhood,107.07,10,24659.32,Yes,1056,Winter,1466
2024-12-01,ELEC104,Electronics,Kolkata,Neighbourhood,3183.78,0,22206.23,No,151,Winter,210
2025-04-01,ELEC104,Electronics,Delhi,High Street,3364.36,0,21058.71,No,241,Summer,291
2024-10-01,FASH103,Fashion,Kochi,Supermarket,957.58,0,23541.2,Yes,405,Festival,563
2024-03-01,GROC102,Groceries,Delhi,Mall,279.68,5,15835.0,No,1259,Summer,1096
2023-04-01,CARE103,Personal Care,Pune,Mall,163.97,10,28457.05,No,745,Summer,799
2023-06-01,HOME104,Home Appliances,Delhi,Neighbourhood,5574.92,10,11757.32,No,99,Monsoon,143
2025-01-01,ELEC101,Electronics,Kochi,Supermarket,19717.28,10,26239.73,Yes,184,Winter,231
2024-12-01,FASH102,Fashion,Kolkata,Neighbourhood,2136.53,10,4752.09,Yes,244,Winter,359
2023-02-01,FASH101,Fashion,Chennai,Mall,1395.05,25,29368.6,No,384,Winter,548
2023-01-01,FASH102,Fashion,Bengaluru,Mall,2520.53,10,9535.49,No,523,Winter,514
2024-05-01,CARE104,Personal Care,Bengaluru,High Street,985.44,10,24555.32,No,647,Summer,841
2023-03-01,HOME104,Home Appliances,Mumbai,Neighbourhood,5018.14,0,9115.39,No,133,Summer,157
2025-09-01,GROC104,Groceries,Kochi,Supermarket,397.82,5,27966.73,No,1091,Festival,1246
2025-02-01,ELEC104,Electronics,Delhi,Mall,3072.76,5,27224.83,No,293,Winter,364
2023-09-01,ELEC103,Electronics,Mumbai,Neighbourhood,8855.18,20,13921.72,No,206,Festival,386
2025-11-01,ELEC103,Electronics,Kochi,Mall,7532.87,5,16111.57,Yes,219,Festival,337
2025-12-01,ELEC104,Electronics,Kochi,High Street,3758.82,5,20540.09,No,173,Winter,161
2024-10-01,CARE103,Personal Care,Hyderabad,Neighbourhood,195.92,15,16571.2,Yes,543,Festival,942
2023-05-01,HOME101,Home Appliances,Kolkata,Supermarket,12966.79,10,4177.3,No,194,Summer,147
2023-06-01,FASH104,Fashion,Kochi,Mall,3131.06,20,29099.68,No,421,Monsoon,402
2025-09-01,HOME103,Home Appliances,Chennai,Mall,16749.76,5,16102.56,No,139,Festival,229
2023-03-01,GROC104,Groceries,Pune,High Street,416.81,5,10972.85,No,818,Summer,775
2025-09-01,ELEC103,Electronics,Hyderabad,Neighbourhood,7511.62,10,14334.08,No,132,Festival,247
